team,opponent,##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,date,time,site,team_score,opponent_score
Niagara,Loyola Maryland,05,"05 Parker,Aaliyah",*,31,7-13,1-3,2-3,0-5,5,3,1,1,1,2,17,11/07/22,7:00 PM,"Reitz Arena, Baltimore, MD",64,55
Niagara,Loyola Maryland,11,"11 Parker,Angel",*,23,4-14,0-5,6-8,1-4,5,4,2,3,0,2,14,11/07/22,7:00 PM,"Reitz Arena, Baltimore, MD",64,55
Niagara,Loyola Maryland,14,"14 Yelle,Maddy",*,31,5-11,1-4,1-2,0-1,1,3,3,5,0,2,12,11/07/22,7:00 PM,"Reitz Arena, Baltimore, MD",64,55
Niagara,Loyola Maryland,21,"21 Porter,Lore",*,16,2-9,2-7,0-0,0-0,0,3,1,0,0,0,6,11/07/22,7:00 PM,"Reitz Arena, Baltimore, MD",64,55
Niagara,Loyola Maryland,23,"23 Rutledge,Jade",*,24,2-3,0-0,0-0,1-2,3,4,0,3,3,3,4,11/07/22,7:00 PM,"Reitz Arena, Baltimore, MD",64,55
Niagara,Loyola Maryland,30,"30 Faulcon,Sydney",,16,3-6,0-0,0-0,1-2,3,2,0,1,1,0,6,11/07/22,7:00 PM,"Reitz Arena, Baltimore, MD",64,55
Niagara,Loyola Maryland,01,"01 Fiddler,Shelby",,14,1-3,1-3,0-0,0-1,1,1,3,0,0,0,3,11/07/22,7:00 PM,"Reitz Arena, Baltimore, MD",64,55
Niagara,Loyola Maryland,04,"04 Hicks,Ary",,21,1-3,0-1,0-0,3-1,4,2,4,1,0,2,2,11/07/22,7:00 PM,"Reitz Arena, Baltimore, MD",64,55
Niagara,Loyola Maryland,02,"02 Jones,Brooklyn",,14,0-1,0-0,0-0,1-2,3,2,1,2,0,1,0,11/07/22,7:00 PM,"Reitz Arena, Baltimore, MD",64,55
Niagara,Loyola Maryland,20,"20 Dickerson,Marlie",,9,0-0,0-0,0-0,1-1,2,3,0,2,0,0,0,11/07/22,7:00 PM,"Reitz Arena, Baltimore, MD",64,55
Niagara,Loyola Maryland,10,"10 Strong,Amelia",,1,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,11/07/22,7:00 PM,"Reitz Arena, Baltimore, MD",64,55
Niagara,Loyola Maryland,TM,TM TEAM,,0,0-0,0-0,0-0,1-4,5,0,0,1,0,0,0,11/07/22,7:00 PM,"Reitz Arena, Baltimore, MD",64,55
Loyola Maryland,Niagara,45,"45 Therien, Lex",*,35,5-12,0-0,6-7,3-17,20,1,1,7,2,2,16,11/07/22,7:00 PM,"Reitz Arena, Baltimore, MD",55,64
Loyola Maryland,Niagara,10,"10 Sims, Koi",*,28,7-11,0-0,1-3,4-3,7,3,0,1,1,0,15,11/07/22,7:00 PM,"Reitz Arena, Baltimore, MD",55,64
Loyola Maryland,Niagara,04,"04 Dixon, Taleah",*,28,2-9,1-3,2-4,0-4,4,1,2,2,0,2,7,11/07/22,7:00 PM,"Reitz Arena, Baltimore, MD",55,64
Loyola Maryland,Niagara,22,"22 Rozzi, Bri",*,21,2-2,0-0,2-2,0-1,1,4,2,5,0,0,6,11/07/22,7:00 PM,"Reitz Arena, Baltimore, MD",55,64
Loyola Maryland,Niagara,13,"13 Tañedo, Caramina",*,27,0-5,0-3,0-0,1-0,1,0,1,2,0,0,0,11/07/22,7:00 PM,"Reitz Arena, Baltimore, MD",55,64
Loyola Maryland,Niagara,02,"02 Van-Otoo, Meliah",,20,3-6,0-1,0-2,1-1,2,3,2,5,0,0,6,11/07/22,7:00 PM,"Reitz Arena, Baltimore, MD",55,64
Loyola Maryland,Niagara,01,"01 Ratigan, Kelly",,16,0-2,0-2,2-2,0-0,0,1,2,7,0,1,2,11/07/22,7:00 PM,"Reitz Arena, Baltimore, MD",55,64
Loyola Maryland,Niagara,11,"11 Glezen, Emma",,15,1-1,0-0,0-0,0-0,0,2,1,1,1,0,2,11/07/22,7:00 PM,"Reitz Arena, Baltimore, MD",55,64
Loyola Maryland,Niagara,35,"35 Therien, Ava",,2,0-0,0-0,1-2,0-0,0,1,0,0,0,0,1,11/07/22,7:00 PM,"Reitz Arena, Baltimore, MD",55,64
Loyola Maryland,Niagara,12,"12 Garcia, Cristina",,8,0-2,0-1,0-0,0-0,0,1,1,2,0,0,0,11/07/22,7:00 PM,"Reitz Arena, Baltimore, MD",55,64
Loyola Maryland,Niagara,TM,TM TEAM,,0,0-0,0-0,0-0,3-5,8,0,0,1,0,0,0,11/07/22,7:00 PM,"Reitz Arena, Baltimore, MD",55,64
Loyola Maryland,Morgan State,45,"45 Therien, Lex",*,35,10-15,0-0,0-2,1-12,13,2,1,6,0,3,20,11/10/22,5:30 PM,"Baltimore, Md. (Hill Field House)",50,59
